Symbol,Industry,Price,Previous Close,Volume average,Last trade time
"AGILENT TECHNOLOGIES, INC. (XNYS:A)",Healthcare Equipment & Supplies,127.44,132.18,1498319,7/10/2022 23:00
ALCOA CORPORATION (XNYS:AA),Metals & Mining,39.01,39.85,8030817,7/10/2022 23:57
ARES ACQUISITION CORPORATION (XNYS:AAC),Holding Companies,9.95,9.93,528953,7/10/2022 23:00
ATA Creativity Global (XNAS:AACG),Miscellaneous Educational Service Providers,1.89,1.96,25213,7/10/2022 20:00
ARMADA ACQUISITION CORP. I (XNAS:AACI),Holding Companies,9.93,9.93,7913,6/10/2022 20:00
ARMADA ACQUISITION I UNT (XNAS:AACIU),#FIELD!,10.12,10.05,1988,6/10/2022 20:00
"Aadi Bioscience, Inc. (XNAS:AADI)",Pharmaceuticals,13.61,14.3,152440,7/10/2022 21:44
Arlington Asset Investment Corp. (XNYS:AAIC),Investment Banking & Investment Services,2.73,2.82,63019,7/10/2022 23:00
AMERICAN AIRLINES GROUP INC. (XNAS:AAL),Passenger Transportation Services,12.18,12.73,33519830,7/10/2022 23:59
Altisource Asset Management Corporation (XNYS:AAMC),Real Estate Operations,14.66,16,5057,8/10/2022 0:00
ATLANTIC AMERICAN CORPORATION (XNAS:AAME),Insurance,2.75,2.83,3683,7/10/2022 20:00
"The Aaron's Company, Inc. (XNYS:AAN)",Banking Services,9.5,9.9,412636,7/10/2022 23:00
"APPLIED OPTOELECTRONICS, INC. (XNAS:AAOI)",Electronic Equipment & Parts,2.78,2.93,3812311,7/10/2022 20:00
"AAON, INC. (XNAS:AAON)","Machinery, Equipment & Components",53.14,55.25,149421,7/10/2022 22:06
"ADVANCE AUTO PARTS, INC. (XNYS:AAP)",Specialty Retailers,161.32,165.14,796229,7/10/2022 23:59
APPLE INC. (XNAS:AAPL),"Computers, Phones & Household Electronics",140.09,145.43,97391603,7/10/2022 23:59
ACCELERATE ACQUISITION CORP. (XNYS:AAQC),Holding Companies,9.83,9.85,59279,7/10/2022 23:00
"AMERICAN ASSETS TRUST, INC. (XNYS:AAT)",Residential & Commercial REIT,24.92,25.02,305945,7/10/2022 23:00
Autoscope Technologies Corporation (XNAS:AATC),"Machinery, Equipment & Components",4.45,4.51,10543,7/10/2022 22:43
Almaden Minerals Ltd. (XNYS:AAU),Metals & Mining,0.24,0.25,230262,7/10/2022 22:36
"ATLAS AIR WORLDWIDE HOLDINGS, INC. (XNAS:AAWW)",Freight & Logistics Services,98.18,98.1,853282,7/10/2022 20:26
Abb Ltd (XNYS:ABB),"Machinery, Equipment & Components",25.01,25.62,2124384,7/10/2022 23:00
ABBVIE INC. (XNYS:ABBV),Pharmaceuticals,138.76,140.29,5980450,7/10/2022 23:56
AMERISOURCEBERGEN CORPORATION (XNYS:ABC),Healthcare Equipment & Supplies,137.35,139.91,1062957,7/10/2022 23:00
AMERIS BANCORP (XNAS:ABCB),Banking Services,48.37,48.86,421289,7/10/2022 20:01
ABCELLERA BIOLOGICS INC. (XNAS:ABCL),Biotechnology & Medical Research,10.75,11.41,1632602,7/10/2022 23:51
ABCAM PLC (XNAS:ABCM),Pharmaceuticals,15.34,16.03,232985,7/10/2022 22:59
